Year,SERIES,UNIT_MEASURE,Привредна активност,Value
2011.0,Удио становништва са приступом електричној енергији,Проценат,,100.0
2015.0,Удио становништва са приступом електричној енергији,Проценат,,100.0
2013.0,EG_FIN,GWH,,2.774
2014.0,EG_FIN,GWH,,2.772
2015.0,EG_FIN,GWH,,2.833
2016.0,EG_FIN,GWH,,2.831
2017.0,EG_FIN,GWH,,2.844
2018.0,EG_FIN,GWH,,2.847
2019.0,EG_FIN,GWH,,2.832
2020.0,EG_FIN,GWH,,2.866
2021.0,EG_FIN,GWH,,2.923
2013.0,EG_CONSUMPTION,Проценат,Индустрије,45.0
2014.0,EG_CONSUMPTION,Проценат,Индустрије,43.1
2015.0,EG_CONSUMPTION,Проценат,Индустрије,43.0
2016.0,EG_CONSUMPTION,Проценат,Индустрије,41.8
2017.0,EG_CONSUMPTION,Проценат,Индустрије,42.6
2018.0,EG_CONSUMPTION,Проценат,Индустрије,40.8
2019.0,EG_CONSUMPTION,Проценат,Индустрије,33.3
2020.0,EG_CONSUMPTION,Проценат,Индустрије,24.6
2021.0,EG_CONSUMPTION,Проценат,Индустрије,26.2
2013.0,EG_CONSUMPTION,Проценат,Приватна домаћинства,35.9
2014.0,EG_CONSUMPTION,Проценат,Приватна домаћинства,36.6
2015.0,EG_CONSUMPTION,Проценат,Приватна домаћинства,37.4
2016.0,EG_CONSUMPTION,Проценат,Приватна домаћинства,37.6
2017.0,EG_CONSUMPTION,Проценат,Приватна домаћинства,37.2
2018.0,EG_CONSUMPTION,Проценат,Приватна домаћинства,38.3
2019.0,EG_CONSUMPTION,Проценат,Приватна домаћинства,41.0
2020.0,EG_CONSUMPTION,Проценат,Приватна домаћинства,47.4
2021.0,EG_CONSUMPTION,Проценат,Приватна домаћинства,45.2
2013.0,EG_CONSUMPTION,Проценат,EN_SECTOR,2.9
2014.0,EG_CONSUMPTION,Проценат,EN_SECTOR,3.7
2015.0,EG_CONSUMPTION,Проценат,EN_SECTOR,3.7
2016.0,EG_CONSUMPTION,Проценат,EN_SECTOR,3.2
2017.0,EG_CONSUMPTION,Проценат,EN_SECTOR,3.5
2018.0,EG_CONSUMPTION,Проценат,EN_SECTOR,2.9
2019.0,EG_CONSUMPTION,Проценат,EN_SECTOR,3.5
2020.0,EG_CONSUMPTION,Проценат,EN_SECTOR,3.6
2021.0,EG_CONSUMPTION,Проценат,EN_SECTOR,3.5
2013.0,EG_CONSUMPTION,Проценат,OTHER,16.2
2014.0,EG_CONSUMPTION,Проценат,OTHER,16.7
2015.0,EG_CONSUMPTION,Проценат,OTHER,15.9
2016.0,EG_CONSUMPTION,Проценат,OTHER,17.4
2017.0,EG_CONSUMPTION,Проценат,OTHER,16.7
2018.0,EG_CONSUMPTION,Проценат,OTHER,18.1
2019.0,EG_CONSUMPTION,Проценат,OTHER,22.3
2020.0,EG_CONSUMPTION,Проценат,OTHER,24.4
2021.0,EG_CONSUMPTION,Проценат,OTHER,25.0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
