Year,SERIES,UNIT_MEASURE,Пол,Године,Value
2020.0,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,15 до 24 године,23.7
2021.0,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,15 до 24 године,20.8
2022.0,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком - 13. ICLS (%)",Проценат,Оба пола или без подјеле по полу,15 до 24 године,18.6
2020.0,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком - 13. ICLS (%)",Проценат,Мушкарци,15 до 24 године,21.8
2021.0,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком - 13. ICLS (%)",Проценат,Мушкарци,15 до 24 године,19.6
2022.0,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком - 13. ICLS (%)",Проценат,Мушкарци,15 до 24 године,17.8
2020.0,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком - 13. ICLS (%)",Проценат,Жене,15 до 24 године,25.6
2021.0,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком - 13. ICLS (%)",Проценат,Жене,15 до 24 године,22.0
2022.0,"Удио младих који нису у обухваћени образовањем, запосленошћу, или обуком - 13. ICLS (%)",Проценат,Жене,15 до 24 године,19.5
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
