Year,SERIES,UNIT_MEASURE,Пол,Степен урбанизације,Value
2013.0,NY_GDP_TOUR,Проценат,,,2.3
2014.0,NY_GDP_TOUR,Проценат,,,2.3
2015.0,NY_GDP_TOUR,Проценат,,,2.2
2016.0,NY_GDP_TOUR,Проценат,,,2.2
2017.0,NY_GDP_TOUR,Проценат,,,2.3
2018.0,NY_GDP_TOUR,Проценат,,,2.2
2019.0,NY_GDP_TOUR,Проценат,,,2.3
2020.0,NY_GDP_TOUR,Проценат,,,1.7
2021.0,NY_GDP_TOUR,Проценат,,,1.9
2013.0,SL_TLF_EMP,Проценат,Оба пола или без подјеле по полу,,30.3
2014.0,SL_TLF_EMP,Проценат,Оба пола или без подјеле по полу,,30.2
2015.0,SL_TLF_EMP,Проценат,Оба пола или без подјеле по полу,,30.2
2016.0,SL_TLF_EMP,Проценат,Оба пола или без подјеле по полу,,30.5
2017.0,SL_TLF_EMP,Проценат,Оба пола или без подјеле по полу,,32.2
2018.0,SL_TLF_EMP,Проценат,Оба пола или без подјеле по полу,,31.9
2019.0,SL_TLF_EMP,Проценат,Оба пола или без подјеле по полу,,31.9
2020.0,SL_TLF_EMP,Проценат,Оба пола или без подјеле по полу,,37.5
2021.0,SL_TLF_EMP,Проценат,Оба пола или без подјеле по полу,,37.8
2022.0,SL_TLF_EMP,Проценат,Оба пола или без подјеле по полу,,39.6
2013.0,SL_TLF_EMP,Проценат,Мушкарци,,39.7
2014.0,SL_TLF_EMP,Проценат,Мушкарци,,40.1
2015.0,SL_TLF_EMP,Проценат,Мушкарци,,39.4
2016.0,SL_TLF_EMP,Проценат,Мушкарци,,41.1
2017.0,SL_TLF_EMP,Проценат,Мушкарци,,41.7
2018.0,SL_TLF_EMP,Проценат,Мушкарци,,42.0
2019.0,SL_TLF_EMP,Проценат,Мушкарци,,41.6
2020.0,SL_TLF_EMP,Проценат,Мушкарци,,50.2
2021.0,SL_TLF_EMP,Проценат,Мушкарци,,51.0
2022.0,SL_TLF_EMP,Проценат,Мушкарци,,52.5
2013.0,SL_TLF_EMP,Проценат,Жене,,21.3
2014.0,SL_TLF_EMP,Проценат,Жене,,20.9
2015.0,SL_TLF_EMP,Проценат,Жене,,21.4
2016.0,SL_TLF_EMP,Проценат,Жене,,20.6
2017.0,SL_TLF_EMP,Проценат,Жене,,23.1
2018.0,SL_TLF_EMP,Проценат,Жене,,22.5
2019.0,SL_TLF_EMP,Проценат,Жене,,23.0
2020.0,SL_TLF_EMP,Проценат,Жене,,25.5
2021.0,SL_TLF_EMP,Проценат,Жене,,25.2
2022.0,SL_TLF_EMP,Проценат,Жене,,27.4
2013.0,TOUR_ARR,Хиљаде,,Укупно,577.0
2014.0,TOUR_ARR,Хиљаде,,Укупно,576.0
2015.0,TOUR_ARR,Хиљаде,,Укупно,723.0
2016.0,TOUR_ARR,Хиљаде,,Укупно,812.0
2017.0,TOUR_ARR,Хиљаде,,Укупно,949.0
2018.0,TOUR_ARR,Хиљаде,,Укупно,1.071
2019.0,TOUR_ARR,Хиљаде,,Укупно,1.227
2020.0,TOUR_ARR,Хиљаде,,Укупно,306.0
2021.0,TOUR_ARR,Хиљаде,,Укупно,667.0
2022.0,TOUR_ARR,Хиљаде,,Укупно,1.024
2023.0,TOUR_ARR,Хиљаде,,Укупно,1.262
2013.0,TOUR_ARR,Хиљаде,,DOM,166.0
2014.0,TOUR_ARR,Хиљаде,,DOM,163.0
2015.0,TOUR_ARR,Хиљаде,,DOM,186.0
2016.0,TOUR_ARR,Хиљаде,,DOM,199.0
2017.0,TOUR_ARR,Хиљаде,,DOM,210.0
2018.0,TOUR_ARR,Хиљаде,,DOM,228.0
2019.0,TOUR_ARR,Хиљаде,,DOM,256.0
2020.0,TOUR_ARR,Хиљаде,,DOM,177.0
2021.0,TOUR_ARR,Хиљаде,,DOM,289.0
2022.0,TOUR_ARR,Хиљаде,,DOM,338.0
2023.0,TOUR_ARR,Хиљаде,,DOM,350.0
2013.0,TOUR_ARR,Хиљаде,,FOR,411.0
2014.0,TOUR_ARR,Хиљаде,,FOR,413.0
2015.0,TOUR_ARR,Хиљаде,,FOR,537.0
2016.0,TOUR_ARR,Хиљаде,,FOR,613.0
2017.0,TOUR_ARR,Хиљаде,,FOR,739.0
2018.0,TOUR_ARR,Хиљаде,,FOR,843.0
2019.0,TOUR_ARR,Хиљаде,,FOR,971.0
2020.0,TOUR_ARR,Хиљаде,,FOR,129.0
2021.0,TOUR_ARR,Хиљаде,,FOR,378.0
2022.0,TOUR_ARR,Хиљаде,,FOR,686.0
2023.0,TOUR_ARR,Хиљаде,,FOR,912.0
2013.0,TOUR_NIGHT,Хиљаде,,Укупно,1.135
2014.0,TOUR_NIGHT,Хиљаде,,Укупно,1.095
2015.0,TOUR_NIGHT,Хиљаде,,Укупно,1.439
2016.0,TOUR_NIGHT,Хиљаде,,Укупно,1.62
2017.0,TOUR_NIGHT,Хиљаде,,Укупно,1.861
2018.0,TOUR_NIGHT,Хиљаде,,Укупно,2.095
2019.0,TOUR_NIGHT,Хиљаде,,Укупно,2.38
2020.0,TOUR_NIGHT,Хиљаде,,Укупно,704.0
2021.0,TOUR_NIGHT,Хиљаде,,Укупно,1.496
