Year,SERIES,UNIT_MEASURE,Пол,Привредна активност,Value
2017.0,Запосленост у прерађивачкој индустрији као удио укупне запослености - 13. ICLS (%),,Оба пола или без подјеле по полу,Производња,100.052
2018.0,Запосленост у прерађивачкој индустрији као удио укупне запослености - 13. ICLS (%),,Оба пола или без подјеле по полу,Производња,105.098
2019.0,Запосленост у прерађивачкој индустрији као удио укупне запослености - 13. ICLS (%),,Оба пола или без подјеле по полу,Производња,106.385
2020.0,Запосленост у прерађивачкој индустрији као удио укупне запослености - 13. ICLS (%),,Оба пола или без подјеле по полу,Производња,101.729
2021.0,Запосленост у прерађивачкој индустрији као удио укупне запослености - 13. ICLS (%),,Оба пола или без подјеле по полу,Производња,103.541
2022.0,Запосленост у прерађивачкој индустрији као удио укупне запослености - 13. ICLS (%),,Оба пола или без подјеле по полу,Производња,106.439
2017.0,Запосленост у прерађивачкој индустрији као удио укупне запослености - 13. ICLS (%),,Жене,Производња,33.141
2018.0,Запосленост у прерађивачкој индустрији као удио укупне запослености - 13. ICLS (%),,Жене,Производња,35.599
2019.0,Запосленост у прерађивачкој индустрији као удио укупне запослености - 13. ICLS (%),,Жене,Производња,36.793
2020.0,Запосленост у прерађивачкој индустрији као удио укупне запослености - 13. ICLS (%),,Жене,Производња,35.472
2021.0,Запосленост у прерађивачкој индустрији као удио укупне запослености - 13. ICLS (%),,Жене,Производња,35.957
2022.0,Запосленост у прерађивачкој индустрији као удио укупне запослености - 13. ICLS (%),,Жене,Производња,38.023
2017.0,SL_TLF_MANF_EMP,Проценат,Оба пола или без подјеле по полу,Производња,19.8
2018.0,SL_TLF_MANF_EMP,Проценат,Оба пола или без подјеле по полу,Производња,20.2
2019.0,SL_TLF_MANF_EMP,Проценат,Оба пола или без подјеле по полу,Производња,20.0
2020.0,SL_TLF_MANF_EMP,Проценат,Оба пола или без подјеле по полу,Производња,19.6
2021.0,SL_TLF_MANF_EMP,Проценат,Оба пола или без подјеле по полу,Производња,19.7
2022.0,SL_TLF_MANF_EMP,Проценат,Оба пола или без подјеле по полу,Производња,19.9
2017.0,SL_TLF_MANF_EMP,Проценат,Жене,Производња,16.0
2018.0,SL_TLF_MANF_EMP,Проценат,Жене,Производња,16.5
2019.0,SL_TLF_MANF_EMP,Проценат,Жене,Производња,16.5
2020.0,SL_TLF_MANF_EMP,Проценат,Жене,Производња,16.3
2021.0,SL_TLF_MANF_EMP,Проценат,Жене,Производња,16.2
2022.0,SL_TLF_MANF_EMP,Проценат,Жене,Производња,16.4
2017.0,SL_TLF_TOT,,Оба пола или без подјеле по полу,Производња,505.201
2018.0,SL_TLF_TOT,,Оба пола или без подјеле по полу,Производња,519.8
2019.0,SL_TLF_TOT,,Оба пола или без подјеле по полу,Производња,531.483
2020.0,SL_TLF_TOT,,Оба пола или без подјеле по полу,Производња,520.162
2021.0,SL_TLF_TOT,,Оба пола или без подјеле по полу,Производња,525.397
2022.0,SL_TLF_TOT,,Оба пола или без подјеле по полу,Производња,535.665
2017.0,SL_TLF_TOT,,Жене,Производња,206.572
2018.0,SL_TLF_TOT,,Жене,Производња,215.317
2019.0,SL_TLF_TOT,,Жене,Производња,222.516
2020.0,SL_TLF_TOT,,Жене,Производња,218.28
2021.0,SL_TLF_TOT,,Жене,Производња,222.303
2022.0,SL_TLF_TOT,,Жене,Производња,232.282
,,,,,
