Year,SERIES,UNIT_MEASURE,Value
2013.0,AG_STATE_FRST,HA_TH,1.246
2014.0,AG_STATE_FRST,HA_TH,1.247
2015.0,AG_STATE_FRST,HA_TH,1.243
2016.0,AG_STATE_FRST,HA_TH,1.241
2017.0,AG_STATE_FRST,HA_TH,1.241
2018.0,AG_STATE_FRST,HA_TH,1.236
2019.0,AG_STATE_FRST,HA_TH,1.234
2020.0,AG_STATE_FRST,HA_TH,1.234
2021.0,AG_STATE_FRST,HA_TH,1.241
2013.0,AG_PRIV_FRST,HA_TH,277
2014.0,AG_PRIV_FRST,HA_TH,277
2015.0,AG_PRIV_FRST,HA_TH,277
2016.0,AG_PRIV_FRST,HA_TH,277
2017.0,AG_PRIV_FRST,HA_TH,277
2018.0,AG_PRIV_FRST,HA_TH,277
2019.0,AG_PRIV_FRST,HA_TH,277
2020.0,AG_PRIV_FRST,HA_TH,277
2021.0,AG_PRIV_FRST,HA_TH,277
2013.0,AG_PROT,HACTARE,74.718.7
2014.0,AG_PROT,HACTARE,79.693.5
2015.0,AG_PROT,HACTARE,79.693.5
2016.0,AG_PROT,HACTARE,79.854.4
2017.0,AG_PROT,HACTARE,79.854.4
2018.0,AG_PROT,HACTARE,98.621.3
2019.0,AG_PROT,HACTARE,103.875.7
2020.0,AG_PROT,HACTARE,103.900.0
,,,
,,,
