Year,SERIES,UNIT_MEASURE,SORT,SEX,Value
2020.0,VC_HTF_OFF,NUMBER,OFF_TOT,,10.0
2021.0,VC_HTF_OFF,NUMBER,OFF_TOT,,1.0
2022.0,VC_HTF_OFF,NUMBER,OFF_TOT,,3.0
2023.0,VC_HTF_OFF,NUMBER,OFF_TOT,,1.0
2020.0,VC_HTF_OFF,NUMBER,HUM_TRAF,,1.0
2021.0,VC_HTF_OFF,NUMBER,HUM_TRAF,,1.0
2022.0,VC_HTF_OFF,NUMBER,HUM_TRAF,,3.0
2023.0,VC_HTF_OFF,NUMBER,HUM_TRAF,,1.0
2020.0,VC_HTF_OFF,NUMBER,ORG_HUM_TRAF,,9.0
2021.0,VC_HTF_OFF,NUMBER,ORG_HUM_TRAF,,0.0
2022.0,VC_HTF_OFF,NUMBER,ORG_HUM_TRAF,,0.0
2023.0,VC_HTF_OFF,NUMBER,ORG_HUM_TRAF,,0.0
2020.0,VC_HTF_OFF,NUMBER,TOT_VICTIM,,6.0
2021.0,VC_HTF_OFF,NUMBER,TOT_VICTIM,,0.0
2022.0,VC_HTF_OFF,NUMBER,TOT_VICTIM,,0.0
2023.0,VC_HTF_OFF,NUMBER,TOT_VICTIM,,1.0
2020.0,VC_HTF_OFF,NUMBER,TOT_VICTIM,M,3.0
2021.0,VC_HTF_OFF,NUMBER,TOT_VICTIM,M,0.0
2022.0,VC_HTF_OFF,NUMBER,TOT_VICTIM,M,0.0
2023.0,VC_HTF_OFF,NUMBER,TOT_VICTIM,M,0.0
2020.0,VC_HTF_OFF,NUMBER,TOT_VICTIM,F,3.0
2021.0,VC_HTF_OFF,NUMBER,TOT_VICTIM,F,0.0
2022.0,VC_HTF_OFF,NUMBER,TOT_VICTIM,F,0.0
2023.0,VC_HTF_OFF,NUMBER,TOT_VICTIM,F,1.0
,,,,,
,,,,,
