Year,SERIES,UNIT_MEASURE,AGE,SEX,EDUCATION_LEV,URBANISATION,Value
2017.0,IT_USE_II99,PT,Y16T74,,,,65.1
2018.0,IT_USE_II99,PT,Y16T74,,,,69.7
2019.0,IT_USE_II99,PT,Y16T74,,,,68.6
2020.0,IT_USE_II99,PT,Y16T74,,,,73.4
2021.0,IT_USE_II99,PT,Y16T74,,,,72.5
2022.0,IT_USE_II99,PT,Y16T74,,,,77.1
2023.0,IT_USE_II99,PT,Y16T74,,,,81.3
2017.0,IT_USE_II99_DIV,PT,Y16T74,,,U,71.0
2018.0,IT_USE_II99_DIV,PT,Y16T74,,,U,74.6
2019.0,IT_USE_II99_DIV,PT,Y16T74,,,U,67.6
2020.0,IT_USE_II99_DIV,PT,Y16T74,,,U,76.2
2021.0,IT_USE_II99_DIV,PT,Y16T74,,,U,76.9
2022.0,IT_USE_II99_DIV,PT,Y16T74,,,U,79.2
2023.0,IT_USE_II99_DIV,PT,Y16T74,,,U,81.5
2017.0,IT_USE_II99_DIV,PT,Y16T74,,,R,60.5
2018.0,IT_USE_II99_DIV,PT,Y16T74,,,R,65.0
2019.0,IT_USE_II99_DIV,PT,Y16T74,,,R,69.5
2020.0,IT_USE_II99_DIV,PT,Y16T74,,,R,71.3
2021.0,IT_USE_II99_DIV,PT,Y16T74,,,R,68.8
2022.0,IT_USE_II99_DIV,PT,Y16T74,,,R,75.3
2023.0,IT_USE_II99_DIV,PT,Y16T74,,,R,81.2
2017.0,IT_USE_II99_DIV,PT,Y16T74,M,,,66.8
2018.0,IT_USE_II99_DIV,PT,Y16T74,M,,,72.1
2019.0,IT_USE_II99_DIV,PT,Y16T74,M,,,72.0
2020.0,IT_USE_II99_DIV,PT,Y16T74,M,,,79.7
2021.0,IT_USE_II99_DIV,PT,Y16T74,M,,,74.8
2022.0,IT_USE_II99_DIV,PT,Y16T74,M,,,79.5
2023.0,IT_USE_II99_DIV,PT,Y16T74,M,,,81.4
2017.0,IT_USE_II99_DIV,PT,Y16T74,F,,,63.1
2018.0,IT_USE_II99_DIV,PT,Y16T74,F,,,68.1
2019.0,IT_USE_II99_DIV,PT,Y16T74,F,,,66.1
2020.0,IT_USE_II99_DIV,PT,Y16T74,F,,,68.9
2021.0,IT_USE_II99_DIV,PT,Y16T74,F,,,70.6
2022.0,IT_USE_II99_DIV,PT,Y16T74,F,,,74.9
2023.0,IT_USE_II99_DIV,PT,Y16T74,F,,,81.2
2017.0,IT_USE_II99_DIV,PT,Y16T74,,PRIMAR,,36.3
2018.0,IT_USE_II99_DIV,PT,Y16T74,,PRIMAR,,40.6
2019.0,IT_USE_II99_DIV,PT,Y16T74,,PRIMAR,,42.9
2020.0,IT_USE_II99_DIV,PT,Y16T74,,PRIMAR,,46.8
2021.0,IT_USE_II99_DIV,PT,Y16T74,,PRIMAR,,48.7
2022.0,IT_USE_II99_DIV,PT,Y16T74,,PRIMAR,,49.4
2023.0,IT_USE_II99_DIV,PT,Y16T74,,PRIMAR,,60.1
2017.0,IT_USE_II99_DIV,PT,Y16T74,,MID_SCH,,74.5
2018.0,IT_USE_II99_DIV,PT,Y16T74,,MID_SCH,,79.8
2019.0,IT_USE_II99_DIV,PT,Y16T74,,MID_SCH,,74.6
2020.0,IT_USE_II99_DIV,PT,Y16T74,,MID_SCH,,80.9
2021.0,IT_USE_II99_DIV,PT,Y16T74,,MID_SCH,,80.7
2022.0,IT_USE_II99_DIV,PT,Y16T74,,MID_SCH,,85.1
2023.0,IT_USE_II99_DIV,PT,Y16T74,,MID_SCH,,87.7
2017.0,IT_USE_II99_DIV,PT,Y16T74,,UNI_SCH,,94.6
2018.0,IT_USE_II99_DIV,PT,Y16T74,,UNI_SCH,,95.7
2019.0,IT_USE_II99_DIV,PT,Y16T74,,UNI_SCH,,95.0
2020.0,IT_USE_II99_DIV,PT,Y16T74,,UNI_SCH,,95.1
2021.0,IT_USE_II99_DIV,PT,Y16T74,,UNI_SCH,,91.5
2022.0,IT_USE_II99_DIV,PT,Y16T74,,UNI_SCH,,97.4
2023.0,IT_USE_II99_DIV,PT,Y16T74,,UNI_SCH,,98.1
,,,,,,,
,,,,,,,
,,,,,,,
