Year,SERIES,UNIT_MEASURE,AGE,SEX,Value
2013.0,SH_DYN_MORTN,PER_1000_LIVE_BIRTHS,Y0T4,_T,8.1
2014.0,SH_DYN_MORTN,PER_1000_LIVE_BIRTHS,Y0T4,_T,6.9
2015.0,SH_DYN_MORTN,PER_1000_LIVE_BIRTHS,Y0T4,_T,8.7
2016.0,SH_DYN_MORTN,PER_1000_LIVE_BIRTHS,Y0T4,_T,8.4
2017.0,SH_DYN_MORTN,PER_1000_LIVE_BIRTHS,Y0T4,_T,9.1
2018.0,SH_DYN_MORTN,PER_1000_LIVE_BIRTHS,Y0T4,_T,9.3
2019.0,SH_DYN_MORTN,PER_1000_LIVE_BIRTHS,Y0T4,_T,10.3
2020.0,SH_DYN_MORTN,PER_1000_LIVE_BIRTHS,Y0T4,_T,7.8
2021.0,SH_DYN_MORTN,PER_1000_LIVE_BIRTHS,Y0T4,_T,6.7
2022.0,SH_DYN_MORTN,PER_1000_LIVE_BIRTHS,Y0T4,_T,7.1
,,,,,
