Year,SERIES,UNIT_MEASURE,SEX,AGE,EDUCATION_LEV,Value
2013.0,POP_EDU,PT,_T,_T,NO_EDU,4.4
2013.0,POP_EDU,PT,M,_T,NO_EDU,1.5
2013.0,POP_EDU,PT,F,_T,NO_EDU,7.2
2013.0,POP_EDU,PT,_T,_T,INC_PRIM_EDU,9.0
2013.0,POP_EDU,PT,M,_T,INC_PRIM_EDU,5.1
2013.0,POP_EDU,PT,F,_T,INC_PRIM_EDU,12.7
2013.0,POP_EDU,PT,_T,_T,PRIMAR,21.5
2013.0,POP_EDU,PT,M,_T,PRIMAR,18.4
2013.0,POP_EDU,PT,F,_T,PRIMAR,24.6
2013.0,POP_EDU,PT,_T,_T,MID_SCH,51.1
2013.0,POP_EDU,PT,M,_T,MID_SCH,60.5
2013.0,POP_EDU,PT,F,_T,MID_SCH,42.3
2013.0,POP_EDU,PT,_T,_T,UNI_SCH,10.1
2013.0,POP_EDU,PT,M,_T,UNI_SCH,9.9
2013.0,POP_EDU,PT,F,_T,UNI_SCH,10.3
2013.0,POP_EDU,PT,_T,_T,SPEC_HIGH,0.7
2013.0,POP_EDU,PT,M,_T,SPEC_HIGH,1.2
2013.0,POP_EDU,PT,F,_T,SPEC_HIGH,0.2
2013.0,POP_EDU,PT,_T,_T,HIGH_SCH,3.0
2013.0,POP_EDU,PT,M,_T,HIGH_SCH,3.4
2013.0,POP_EDU,PT,F,_T,HIGH_SCH,2.7
2013.0,POP_HIGH_EDU,PT,_T,_T,,10.8
2013.0,POP_HIGH_EDU,PT,M,_T,,10.6
2013.0,POP_HIGH_EDU,PT,F,_T,,11.0
2013.0,POP_HIGH_EDU,PT,_T,Y20T29,,20.0
2013.0,POP_HIGH_EDU,PT,M,Y20T29,,15.0
2013.0,POP_HIGH_EDU,PT,F,Y20T29,,25.2
2013.0,POP_HIGH_EDU,PT,_T,Y30T39,,16.5
2013.0,POP_HIGH_EDU,PT,M,Y30T39,,14.0
2013.0,POP_HIGH_EDU,PT,F,Y30T39,,19.1
2013.0,POP_HIGH_EDU,PT,_T,Y40T49,,9.1
2013.0,POP_HIGH_EDU,PT,M,Y40T49,,9.1
2013.0,POP_HIGH_EDU,PT,F,Y40T49,,9.1
2013.0,POP_HIGH_EDU,PT,_T,Y50T59,,9.2
2013.0,POP_HIGH_EDU,PT,M,Y50T59,,10.8
2013.0,POP_HIGH_EDU,PT,F,Y50T59,,7.6
2013.0,POP_HIGH_EDU,PT,_T,Y60T69,,5.0
2013.0,POP_HIGH_EDU,PT,M,Y60T69,,6.6
2013.0,POP_HIGH_EDU,PT,F,Y60T69,,3.5
2013.0,POP_HIGH_EDU,PT,_T,Y_GE70,,3.8
2013.0,POP_HIGH_EDU,PT,M,Y_GE70,,6.5
2013.0,POP_HIGH_EDU,PT,F,Y_GE70,,1.9
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
