Year,SERIES,UNIT_MEASURE,SEX,COMPOSITE_BREAKDOWN,AGE,Value
2017.0,SE_ADT_ACTS,PT,_T,SKILL_COMP,Y16T74,60.8
2018.0,SE_ADT_ACTS,PT,_T,SKILL_COMP,Y16T74,64.8
2019.0,SE_ADT_ACTS,PT,_T,SKILL_COMP,Y16T74,64.5
2020.0,SE_ADT_ACTS,PT,_T,SKILL_COMP,Y16T74,68.7
2021.0,SE_ADT_ACTS,PT,_T,SKILL_COMP,Y16T74,62.5
2022.0,SE_ADT_ACTS,PT,_T,SKILL_COMP,Y16T74,67.1
2017.0,SE_ADT_ACTS,PT,M,SKILL_COMP,Y16T74,63.0
2018.0,SE_ADT_ACTS,PT,M,SKILL_COMP,Y16T74,68.2
2019.0,SE_ADT_ACTS,PT,M,SKILL_COMP,Y16T74,64.4
2020.0,SE_ADT_ACTS,PT,M,SKILL_COMP,Y16T74,73.5
2021.0,SE_ADT_ACTS,PT,M,SKILL_COMP,Y16T74,66.9
2022.0,SE_ADT_ACTS,PT,M,SKILL_COMP,Y16T74,70.7
2017.0,SE_ADT_ACTS,PT,F,SKILL_COMP,Y16T74,58.3
2018.0,SE_ADT_ACTS,PT,F,SKILL_COMP,Y16T74,62.6
2019.0,SE_ADT_ACTS,PT,F,SKILL_COMP,Y16T74,64.7
2020.0,SE_ADT_ACTS,PT,F,SKILL_COMP,Y16T74,65.2
2021.0,SE_ADT_ACTS,PT,F,SKILL_COMP,Y16T74,58.7
2022.0,SE_ADT_ACTS,PT,F,SKILL_COMP,Y16T74,63.9
2017.0,SE_ADT_ACTS,PT,_T,SKILL_INTERNET,_T,65.1
2018.0,SE_ADT_ACTS,PT,_T,SKILL_INTERNET,_T,69.7
2019.0,SE_ADT_ACTS,PT,_T,SKILL_INTERNET,_T,68.6
2020.0,SE_ADT_ACTS,PT,_T,SKILL_INTERNET,_T,73.4
2021.0,SE_ADT_ACTS,PT,_T,SKILL_INTERNET,_T,72.5
2022.0,SE_ADT_ACTS,PT,_T,SKILL_INTERNET,_T,77.1
2017.0,SE_ADT_ACTS,PT,M,SKILL_INTERNET,_T,66.8
2018.0,SE_ADT_ACTS,PT,M,SKILL_INTERNET,_T,72.1
2019.0,SE_ADT_ACTS,PT,M,SKILL_INTERNET,_T,72.0
2020.0,SE_ADT_ACTS,PT,M,SKILL_INTERNET,_T,79.7
2021.0,SE_ADT_ACTS,PT,M,SKILL_INTERNET,_T,74.8
2022.0,SE_ADT_ACTS,PT,M,SKILL_INTERNET,_T,79.5
2017.0,SE_ADT_ACTS,PT,F,SKILL_INTERNET,_T,63.1
2018.0,SE_ADT_ACTS,PT,F,SKILL_INTERNET,_T,68.1
2019.0,SE_ADT_ACTS,PT,F,SKILL_INTERNET,_T,66.1
2020.0,SE_ADT_ACTS,PT,F,SKILL_INTERNET,_T,68.9
2021.0,SE_ADT_ACTS,PT,F,SKILL_INTERNET,_T,70.6
2022.0,SE_ADT_ACTS,PT,F,SKILL_INTERNET,_T,74.9
,,,,,,
