Year,UNIT_MEASURE,SERIES,AGE,SEX,Value
2013.0,PT,DIFF_IN_EMPLOY,Y20T64,,22.6
2014.0,PT,DIFF_IN_EMPLOY,Y20T64,,24.3
2015.0,PT,DIFF_IN_EMPLOY,Y20T64,,22.1
2016.0,PT,DIFF_IN_EMPLOY,Y20T64,,25.3
2017.0,PT,DIFF_IN_EMPLOY,Y20T64,,23.6
2018.0,PT,DIFF_IN_EMPLOY,Y20T64,,25.3
2019.0,PT,DIFF_IN_EMPLOY,Y20T64,,24.9
2020.0,PT,DIFF_IN_EMPLOY,Y20T64,,29.9
2021.0,PT,DIFF_IN_EMPLOY,Y20T64,,31.3
2022.0,PT,DIFF_IN_EMPLOY,Y20T64,,30.4
2020.0,PT,DIFF_IN_PAY,,M,938.0
2021.0,PT,DIFF_IN_PAY,,M,1001.0
2020.0,PT,DIFF_IN_PAY,,F,938.0
2021.0,PT,DIFF_IN_PAY,,F,985.0
2010.0,PT,EMPLOY_F_PARL,,,17.3
2014.0,PT,EMPLOY_F_PARL,,,23.5
2018.0,PT,EMPLOY_F_PARL,,,26.5
2022.0,PT,EMPLOY_F_PARL,,,27.5
2010.0,PT,EMPLOY_F_CANT,,,22.3
2014.0,PT,EMPLOY_F_CANT,,,19.0
2018.0,PT,EMPLOY_F_CANT,,,33.7
2022.0,PT,EMPLOY_F_CANT,,,31.8
2012.0,PT,EMPLOY_F_OPC,,,17.6
2016.0,PT,EMPLOY_F_OPC,,,20.2
2020.0,PT,EMPLOY_F_OPC,,,21.5
,,,,,
