Year,SERIES,UNIT_MEASURE,AGE,VIOLENCE,SEX,Value
PREV12_M,VC_VAW_MARR,PT,,PSYCH_V,,19.0
FROMY_15,VC_VAW_MARR,PT,,PSYCH_V,,46.4
PREV12_M,VC_VAW_MARR,PT,,PHYS_V,,2.5
FROMY_15,VC_VAW_MARR,PT,,PHYS_V,,12.7
PREV12_M,VC_VAW_MARR,PT,,SEX_V,,1.5
FROMY_15,VC_VAW_MARR,PT,,SEX_V,,5.8
2010,VC_VAW_DOM,,,,_T,324.0
2011,VC_VAW_DOM,,,,_T,443.0
2012,VC_VAW_DOM,,,,_T,456.0
2013,VC_VAW_DOM,,,,_T,372.0
2014,VC_VAW_DOM,,,,_T,331.0
2010,VC_VAW_DOM,,,,M,32.0
2011,VC_VAW_DOM,,,,M,62.0
2012,VC_VAW_DOM,,,,M,78.0
2013,VC_VAW_DOM,,,,M,63.0
2014,VC_VAW_DOM,,,,M,53.0
2010,VC_VAW_DOM,,,,F,292.0
2011,VC_VAW_DOM,,,,F,381.0
2012,VC_VAW_DOM,,,,F,378.0
2013,VC_VAW_DOM,,,,F,309.0
2014,VC_VAW_DOM,,,,F,278.0
2006,VC_VAW_REP,,,DOM_VIO,,639.0
2007,VC_VAW_REP,,,DOM_VIO,,647.0
2008,VC_VAW_REP,,,DOM_VIO,,889.0
2009,VC_VAW_REP,,,DOM_VIO,,689.0
2010,VC_VAW_REP,,,DOM_VIO,,755.0
2011,VC_VAW_REP,,,DOM_VIO,,827.0
2012,VC_VAW_REP,,,DOM_VIO,,882.0
2013,VC_VAW_REP,,,DOM_VIO,,916.0
2014,VC_VAW_REP,,,DOM_VIO,,992.0
2006,VC_VAW_REP,,,DOM_V_REP,,1384.0
2007,VC_VAW_REP,,,DOM_V_REP,,1093.0
2008,VC_VAW_REP,,,DOM_V_REP,,2272.0
2009,VC_VAW_REP,,,DOM_V_REP,,1631.0
2010,VC_VAW_REP,,,DOM_V_REP,,1559.0
2011,VC_VAW_REP,,,DOM_V_REP,,1658.0
2012,VC_VAW_REP,,,DOM_V_REP,,1661.0
2013,VC_VAW_REP,,,DOM_V_REP,,1669.0
2014,VC_VAW_REP,,,DOM_V_REP,,1459.0
,,,,,,
