Year,SERIES,UNIT_MEASURE,SEX,AGE,Value
2013.0,SL_TLF_UEM,PT,_T,,27.6
2014.0,SL_TLF_UEM,PT,_T,,28.4
2015.0,SL_TLF_UEM,PT,_T,,29.1
2016.0,SL_TLF_UEM,PT,_T,,25.6
2017.0,SL_TLF_UEM,PT,_T,,20.0
2018.0,SL_TLF_UEM,PT,_T,,19.2
2019.0,SL_TLF_UEM,PT,_T,,18.4
2020.0,SL_TLF_UEM,PT,_T,,17.5
2021.0,SL_TLF_UEM,PT,_T,,18.9
2022.0,SL_TLF_UEM,PT,_T,,17.2
2013.0,SL_TLF_UEM,PT,M,,27.1
2014.0,SL_TLF_UEM,PT,M,,25.7
2015.0,SL_TLF_UEM,PT,M,,27.1
2016.0,SL_TLF_UEM,PT,M,,22.9
2017.0,SL_TLF_UEM,PT,M,,19.2
2018.0,SL_TLF_UEM,PT,M,,17.8
2019.0,SL_TLF_UEM,PT,M,,16.3
2020.0,SL_TLF_UEM,PT,M,,14.7
2021.0,SL_TLF_UEM,PT,M,,15.0
2022.0,SL_TLF_UEM,PT,M,,14.1
2013.0,SL_TLF_UEM,PT,F,,28.4
2014.0,SL_TLF_UEM,PT,F,,32.7
2015.0,SL_TLF_UEM,PT,F,,32.4
2016.0,SL_TLF_UEM,PT,F,,30.1
2017.0,SL_TLF_UEM,PT,F,,21.5
2018.0,SL_TLF_UEM,PT,F,,21.5
2019.0,SL_TLF_UEM,PT,F,,21.7
2020.0,SL_TLF_UEM,PT,F,,22.3
2021.0,SL_TLF_UEM,PT,F,,25.5
2022.0,SL_TLF_UEM,PT,F,,22.4
2013.0,SL_TLF_UEM,PT,,Y15T24,58.9
2014.0,SL_TLF_UEM,PT,,Y15T24,65.3
2015.0,SL_TLF_UEM,PT,,Y15T24,64.9
2016.0,SL_TLF_UEM,PT,,Y15T24,55.1
2017.0,SL_TLF_UEM,PT,,Y15T24,45.2
2018.0,SL_TLF_UEM,PT,,Y15T24,41.0
2019.0,SL_TLF_UEM,PT,,Y15T24,39.0
2020.0,SL_TLF_UEM,PT,,Y15T24,40.3
2021.0,SL_TLF_UEM,PT,,Y15T24,41.0
2022.0,SL_TLF_UEM,PT,,Y15T24,37.4
2013.0,SL_TLF_UEM,PT,,Y25T49,25.7
2014.0,SL_TLF_UEM,PT,,Y25T49,26.8
2015.0,SL_TLF_UEM,PT,,Y25T49,27.3
2016.0,SL_TLF_UEM,PT,,Y25T49,25.2
2017.0,SL_TLF_UEM,PT,,Y25T49,19.7
2018.0,SL_TLF_UEM,PT,,Y25T49,19.6
2019.0,SL_TLF_UEM,PT,,Y25T49,19.4
2020.0,SL_TLF_UEM,PT,,Y25T49,15.8
2021.0,SL_TLF_UEM,PT,,Y25T49,17.3
2022.0,SL_TLF_UEM,PT,,Y25T49,16.0
2013.0,SL_TLF_UEM,PT,,Y15T64,26.8
2014.0,SL_TLF_UEM,PT,,Y15T64,27.1
2015.0,SL_TLF_UEM,PT,,Y15T64,27.7
2016.0,SL_TLF_UEM,PT,,Y15T64,25.7
2017.0,SL_TLF_UEM,PT,,Y15T64,20.2
2018.0,SL_TLF_UEM,PT,,Y15T64,19.4
2019.0,SL_TLF_UEM,PT,,Y15T64,18.7
2020.0,SL_TLF_UEM,PT,,Y15T64,17.6
2021.0,SL_TLF_UEM,PT,,Y15T64,18.9
2022.0,SL_TLF_UEM,PT,,Y15T64,17.3
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
