Year,SERIES,UNIT_MEASURE,SEX,URBANISATION,Value
2013.0,NY_GDP_TOUR,PT,,,2.3
2014.0,NY_GDP_TOUR,PT,,,2.3
2015.0,NY_GDP_TOUR,PT,,,2.2
2016.0,NY_GDP_TOUR,PT,,,2.2
2017.0,NY_GDP_TOUR,PT,,,2.3
2018.0,NY_GDP_TOUR,PT,,,2.2
2019.0,NY_GDP_TOUR,PT,,,2.3
2020.0,NY_GDP_TOUR,PT,,,1.7
2021.0,NY_GDP_TOUR,PT,,,1.9
2013.0,SL_TLF_EMP,PT,_T,,30.3
2014.0,SL_TLF_EMP,PT,_T,,30.2
2015.0,SL_TLF_EMP,PT,_T,,30.2
2016.0,SL_TLF_EMP,PT,_T,,30.5
2017.0,SL_TLF_EMP,PT,_T,,32.2
2018.0,SL_TLF_EMP,PT,_T,,31.9
2019.0,SL_TLF_EMP,PT,_T,,31.9
2020.0,SL_TLF_EMP,PT,_T,,37.5
2021.0,SL_TLF_EMP,PT,_T,,37.8
2022.0,SL_TLF_EMP,PT,_T,,39.6
2013.0,SL_TLF_EMP,PT,M,,39.7
2014.0,SL_TLF_EMP,PT,M,,40.1
2015.0,SL_TLF_EMP,PT,M,,39.4
2016.0,SL_TLF_EMP,PT,M,,41.1
2017.0,SL_TLF_EMP,PT,M,,41.7
2018.0,SL_TLF_EMP,PT,M,,42.0
2019.0,SL_TLF_EMP,PT,M,,41.6
2020.0,SL_TLF_EMP,PT,M,,50.2
2021.0,SL_TLF_EMP,PT,M,,51.0
2022.0,SL_TLF_EMP,PT,M,,52.5
2013.0,SL_TLF_EMP,PT,F,,21.3
2014.0,SL_TLF_EMP,PT,F,,20.9
2015.0,SL_TLF_EMP,PT,F,,21.4
2016.0,SL_TLF_EMP,PT,F,,20.6
2017.0,SL_TLF_EMP,PT,F,,23.1
2018.0,SL_TLF_EMP,PT,F,,22.5
2019.0,SL_TLF_EMP,PT,F,,23.0
2020.0,SL_TLF_EMP,PT,F,,25.5
2021.0,SL_TLF_EMP,PT,F,,25.2
2022.0,SL_TLF_EMP,PT,F,,27.4
2013.0,TOUR_ARR,THOUSANDS,,_T,577.0
2014.0,TOUR_ARR,THOUSANDS,,_T,576.0
2015.0,TOUR_ARR,THOUSANDS,,_T,723.0
2016.0,TOUR_ARR,THOUSANDS,,_T,812.0
2017.0,TOUR_ARR,THOUSANDS,,_T,949.0
2018.0,TOUR_ARR,THOUSANDS,,_T,1.071
2019.0,TOUR_ARR,THOUSANDS,,_T,1.227
2020.0,TOUR_ARR,THOUSANDS,,_T,306.0
2021.0,TOUR_ARR,THOUSANDS,,_T,667.0
2022.0,TOUR_ARR,THOUSANDS,,_T,1.024
2013.0,TOUR_ARR,THOUSANDS,,DOM,166.0
2014.0,TOUR_ARR,THOUSANDS,,DOM,163.0
2015.0,TOUR_ARR,THOUSANDS,,DOM,186.0
2016.0,TOUR_ARR,THOUSANDS,,DOM,199.0
2017.0,TOUR_ARR,THOUSANDS,,DOM,210.0
2018.0,TOUR_ARR,THOUSANDS,,DOM,228.0
2019.0,TOUR_ARR,THOUSANDS,,DOM,256.0
2020.0,TOUR_ARR,THOUSANDS,,DOM,177.0
2021.0,TOUR_ARR,THOUSANDS,,DOM,289.0
2022.0,TOUR_ARR,THOUSANDS,,DOM,338.0
2013.0,TOUR_ARR,THOUSANDS,,FOR,411.0
2014.0,TOUR_ARR,THOUSANDS,,FOR,413.0
2015.0,TOUR_ARR,THOUSANDS,,FOR,537.0
2016.0,TOUR_ARR,THOUSANDS,,FOR,613.0
2017.0,TOUR_ARR,THOUSANDS,,FOR,739.0
2018.0,TOUR_ARR,THOUSANDS,,FOR,843.0
2019.0,TOUR_ARR,THOUSANDS,,FOR,971.0
2020.0,TOUR_ARR,THOUSANDS,,FOR,129.0
2021.0,TOUR_ARR,THOUSANDS,,FOR,378.0
2022.0,TOUR_ARR,THOUSANDS,,FOR,686.0
2013.0,TOUR_NIGHT,THOUSANDS,,_T,1.135
2014.0,TOUR_NIGHT,THOUSANDS,,_T,1.095
2015.0,TOUR_NIGHT,THOUSANDS,,_T,1.439
2016.0,TOUR_NIGHT,THOUSANDS,,_T,1.62
2017.0,TOUR_NIGHT,THOUSANDS,,_T,1.861
2018.0,TOUR_NIGHT,THOUSANDS,,_T,2.095
2019.0,TOUR_NIGHT,THOUSANDS,,_T,2.38
2020.0,TOUR_NIGHT,THOUSANDS,,_T,704.0
