Year,SERIES,UNIT_MEASURE,SEX,ACTIVITY,Value
2017.0,SL_TLF_MANF,,_T,ISIC4_C,100.052
2018.0,SL_TLF_MANF,,_T,ISIC4_C,105.098
2019.0,SL_TLF_MANF,,_T,ISIC4_C,106.385
2020.0,SL_TLF_MANF,,_T,ISIC4_C,101.729
2021.0,SL_TLF_MANF,,_T,ISIC4_C,103.541
2022.0,SL_TLF_MANF,,_T,ISIC4_C,106.439
2023.0,SL_TLF_MANF,,_T,ISIC4_C,106.23
2017.0,SL_TLF_MANF,,F,ISIC4_C,33.141
2018.0,SL_TLF_MANF,,F,ISIC4_C,35.599
2019.0,SL_TLF_MANF,,F,ISIC4_C,36.793
2020.0,SL_TLF_MANF,,F,ISIC4_C,35.472
2021.0,SL_TLF_MANF,,F,ISIC4_C,35.957
2022.0,SL_TLF_MANF,,F,ISIC4_C,38.023
2023.0,SL_TLF_MANF,,F,ISIC4_C,38.21
2017.0,SL_TLF_MANF_EMP,PT,_T,ISIC4_C,19.8
2018.0,SL_TLF_MANF_EMP,PT,_T,ISIC4_C,20.2
2019.0,SL_TLF_MANF_EMP,PT,_T,ISIC4_C,20.0
2020.0,SL_TLF_MANF_EMP,PT,_T,ISIC4_C,19.6
2021.0,SL_TLF_MANF_EMP,PT,_T,ISIC4_C,19.7
2022.0,SL_TLF_MANF_EMP,PT,_T,ISIC4_C,19.9
2023.0,SL_TLF_MANF_EMP,PT,_T,ISIC4_C,19.6
2017.0,SL_TLF_MANF_EMP,PT,F,ISIC4_C,16.0
2018.0,SL_TLF_MANF_EMP,PT,F,ISIC4_C,16.5
2019.0,SL_TLF_MANF_EMP,PT,F,ISIC4_C,16.5
2020.0,SL_TLF_MANF_EMP,PT,F,ISIC4_C,16.3
2021.0,SL_TLF_MANF_EMP,PT,F,ISIC4_C,16.2
2022.0,SL_TLF_MANF_EMP,PT,F,ISIC4_C,16.4
2023.0,SL_TLF_MANF_EMP,PT,F,ISIC4_C,16.0
2017.0,SL_TLF_TOT,,_T,ISIC4_C,505.201
2018.0,SL_TLF_TOT,,_T,ISIC4_C,519.8
2019.0,SL_TLF_TOT,,_T,ISIC4_C,531.483
2020.0,SL_TLF_TOT,,_T,ISIC4_C,520.162
2021.0,SL_TLF_TOT,,_T,ISIC4_C,525.397
2022.0,SL_TLF_TOT,,_T,ISIC4_C,535.665
2023.0,SL_TLF_TOT,,_T,ISIC4_C,541.261
2017.0,SL_TLF_TOT,,F,ISIC4_C,206.572
2018.0,SL_TLF_TOT,,F,ISIC4_C,215.317
2019.0,SL_TLF_TOT,,F,ISIC4_C,222.516
2020.0,SL_TLF_TOT,,F,ISIC4_C,218.28
2021.0,SL_TLF_TOT,,F,ISIC4_C,222.303
2022.0,SL_TLF_TOT,,F,ISIC4_C,232.282
2023.0,SL_TLF_TOT,,F,ISIC4_C,238.477
,,,,,
