Year,Value,UNIT_MEASURE,SERIES
2013.0,57.4,NUMBER,FB_ATM_TOTL
2014.0,60.4,NUMBER,FB_ATM_TOTL
2015.0,63.5,NUMBER,FB_ATM_TOTL
2016.0,64.8,NUMBER,FB_ATM_TOTL
2017.0,65.3,NUMBER,FB_ATM_TOTL
2018.0,67.1,NUMBER,FB_ATM_TOTL
2019.0,71.2,NUMBER,FB_ATM_TOTL
2020.0,71.3,NUMBER,FB_ATM_TOTL
2021.0,70.9,NUMBER,FB_ATM_TOTL
2022.0,71.9,NUMBER,FB_ATM_TOTL
,,NUMBER,
,,NUMBER,
,,NUMBER,
,,NUMBER,
,,NUMBER,
,,NUMBER,
,,NUMBER,
,,NUMBER,
,,NUMBER,
,,NUMBER,
,,NUMBER,
,,NUMBER,
,,NUMBER,
,,NUMBER,
,,NUMBER,
,,NUMBER,
,,NUMBER,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
