Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
ADMINPRO,Administration Professionals,Administrativni stručnjaci,Административни стручњаци,Administrativni stručnjaci,1,1
ASSOCPRO,Business and Administration Associate Professionals,Stručnjaci za poslovne i administrativne poslove,Стручњаци за пословне и административне послове,Poslovni i administrativni suradnici,1,1
GENERAL,General and Keyboard Clerks,Opšti službenici i sekretarice,Општи службеници и секретарице,Opći službenici i sekretarice,1,1
ISCO08_221,Medical doctors,Doktori medicine,Доктори медицине,Doktori medicine,1,1
ISCO08_2221_3221,Nursing personnel,Medicinski tehničari,Медицинско особље,Medicinsko osoblje,1,1
ISCO08_2261,Dentists,Doktori stomatologije,Зубари,Zubari,1,1
ISCO08_2262,Pharmacists,Magistri farmacije,Фармацеути,Farmaceuti,1,1
JUDGES,Judges,Sudije,Судије,JUDGES,5,1
OTHERMAN,Other Managers: Managing Directors and Chief Executives and Business Services and Administration Managers,Ostali menadžeri generalni direktori i izvršni direktori i menadžeri za poslovne usluge i administraciju,Остали менаџери: генерални директори и извршни директори и менаџери за пословне услуге и администрацију,Ostali menadžeri: generalni direktori i izvršni direktori i menadžeri za poslovne usluge i administraciju,1,1
SENIORMAN,Senior Managers: Senior Government Officials,Viši menadžeri viši državni službenici,Виши руководиоци: виши државни службеници,Viši menadžeri: viši državni službenici,1,1
TOTAL_PSP,"Total national-level public service personnel (including police, education, health, front-desk administrative and all other public service personnel)","Ukupno osoblje javnih službi na nacionalnom nivou (uključujući policiju, obrazovanje, zdravstvo, administrativno osoblje na recepciji i sve ostalo osoblje javnih službi)","Укупан број запослених у јавним службама на националном нивоу (укључујући полицију, образовање, здравство, административно особље на рецепцији и све остало особље јавних служби)","Ukupno osoblje javne službe na nacionalnoj razini (uključujući policiju, obrazovanje, zdravstvo, administrativno osoblje na recepciji i sve ostalo osoblje javne službe)",2,1
