Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
_T,_T,Ukupno,_T,_T,5,3
ACCOM,ACCOM,Smještaj,ACCOM,ACCOM,1,1
BANKS_FBIH,BANKS_FBIH,Banke sa sjedištem u Federaciji BiH,BANKS_FBIH,BANKS_FBIH,2,1
BANKS_RS_FBIH,BANKS_RS_FBIH,Djelovi banaka iz RS u F BiH,BANKS_RS_FBIH,BANKS_RS_FBIH,2,1
BUSS_SECT,BUSS_SECT,Poslovni sektor,BUSS_SECT,BUSS_SECT,1,1
DAMP,DAMP,Vlaga u podovima zidovima i temeljima,DAMP,DAMP,1,1
E_CO2_CAP,E_CO2_CAP,Emisija CO2 t/stanovnik,E_CO2_CAP,E_CO2_CAP,1,1
E_GHG,E_GHG,"Emisija GHG, t CO2 eq/capita",E_GHG,E_GHG,1,1
GOVMNT,GOVMNT,Državni sektor,GOVMNT,GOVMNT,1,1
HIGH_EDU,HIGH_EDU,Visoko obrazovanje,HIGH_EDU,HIGH_EDU,1,1
HUM_TRAF,HUM_TRAF,HUM_TRAF,HUM_TRAF,HUM_TRAF,1,1
LEAK_R,LEAK_R,Krov prokišnjava,LEAK_R,LEAK_R,1,1
NOISE,NOISE,Imaju problema sa bukom,NOISE,NOISE,1,1
OFF_TOT,OFF_TOT,OFF_TOT,OFF_TOT,OFF_TOT,1,1
ORG_HUM_TRAF,ORG_HUM_TRAF,ORG_HUM_TRAF,ORG_HUM_TRAF,ORG_HUM_TRAF,1,1
PAX_KM,PAX_KM,"Putnički kilometri, ukupno mil.",PAX_KM,PAX_KM,1,1
PAX_KM_NO_T,PAX_KM_NO_T,"Putnički kilometri, mil.",PAX_KM_NO_T,PAX_KM_NO_T,2,1
ROTT_W,ROTT_W,Truli prozorski okviri ili vrata,ROTT_W,ROTT_W,1,1
SERVICE,SERVICE,Djelatnosti pripreme i usluživanja hrane i pića,SERVICE,SERVICE,1,1
SH_TR_W,SH_TR_W,Udio prerađenog komunalnog otpada,SH_TR_W,SH_TR_W,1,1
T_GOODS,T_GOODS,"Prevezena roba, ukupno hilj. tona",T_GOODS,T_GOODS,1,1
T_GOODS_NO_T,T_GOODS_NO_T,"Prevezena roba, hilj. tona",T_GOODS_NO_T,T_GOODS_NO_T,2,1
T_KM,T_KM,"Tonski kilometri,ukupno mil.",T_KM,T_KM,1,1
T_KM_NO_T,T_KM_NO_T,"Tonski kilometri, mil.",T_KM_NO_T,T_KM_NO_T,2,1
T_PAX,T_PAX,"Prevezeni putnici, hilj.",T_PAX,T_PAX,2,1
T_PAX_R,T_PAX_R,"Prevezeni putnici u željezničkom i cestovnom prijevozu, ukupno hilj.",T_PAX_R,T_PAX_R,1,1
T_RAIL,T_RAIL,Prijevoz željeznicom,T_RAIL,T_RAIL,1,1
T_ROAD,T_ROAD,Cestovni prijevoz robe,T_ROAD,T_ROAD,1,1
TOT_VICTIM,TOT_VICTIM,TOT_VICTIM,TOT_VICTIM,TOT_VICTIM,3,1
TOT_WASTE,TOT_WASTE,Ukupno prikupljeni komunalni otpad,TOT_WASTE,TOT_WASTE,1,1
TREAT_WASTE,TREAT_WASTE,Komunalni otpad predat na preradu,TREAT_WASTE,TREAT_WASTE,1,1
VEH_EV,VEH_EV,Procenat vozila na hibridni ili električni pogon,VEH_EV,VEH_EV,1,1
VEH_OVER_15,VEH_OVER_15,Procenat vozila preko 15 godina starosti,VEH_OVER_15,VEH_OVER_15,1,1
